turn,shortened_physio_signals
1,"Physiological Signals: Conductance more than doubles inside the opening minute while pulse drops steeply and both temperature and motion stay put, the class holding generic with counts easing 106.0 to 99.0 - movement does not account for it.
EDA: 0.77 -> 2.09 uS, increasing, first minute.
PR: 123.0 -> 94.0 bpm, decreasing, first minute. ACCEL: 0.032 -> 0.031 g, flat, first minute.
Stress score: 2 (Mild stress).<EOS>"
2,"Physiological Signals: Only coarse single-point readings exist for this minute so every channel reads flat, with generic activity and a count of 114.0 making what movement there is look ordinary.
Stress score: 2 (Mild stress). EDA: steady near 1.74 uS, flat, past 1 minute.
ACCEL: steady near 0.159 g, flat, past 1 minute.
PR: steady near 100.0 bpm, flat, past 1 minute.<EOS>"
3,"Physiological Signals: Two minutes in, conductance sits far above where the session opened while pulse, temperature and motion stay level, activity generic and movement minimal - the elevation has no physical explanation.
PR: steady near 94.0 bpm, flat, across these 2 minutes. Stress score: 4 (Moderate stress).
EDA: steady near 2.94 uS, flat, across these 2 minutes.
ACCEL: steady near 0.032 g, flat, across these 2 minutes.<EOS>"
4,"Physiological Signals: Conductance keeps climbing while pulse settles and temperature slips, and the count actually falls 115.0 to 64.0 under a generic class - the arousal runs against the movement rather than with it.
EDA: 4.01 -> 5.18 uS, increasing, through the last 4 minutes.
ACCEL: 0.025 -> 0.046 g, increasing, through the last 4 minutes. Stress score: 2 (Mild stress).
PR: 95.0 -> 89.0 bpm, decreasing, through the last 4 minutes.<EOS>"
5,"Physiological Signals: Five minutes in, conductance has risen again while pulse, temperature and motion sit still, the class generic with the count down to 43.0 - this continued climb is not something movement explains.
ACCEL: steady near 0.016 g, flat, over these 5 minutes.
Stress score: 2 (Mild stress). EDA: steady near 6.3 uS, flat, over these 5 minutes.
PR: steady near 89.0 bpm, flat, over these 5 minutes.<EOS>"
6,"Physiological Signals: Conductance is higher still across this stretch while pulse and motion hold and temperature barely shifts, the class moving generic to still with the count down at 31.0 - no part of this is activity-driven.
EDA: steady near 7.45 uS, flat, this 6-minute stretch.
PR: steady near 89.0 bpm, flat, this 6-minute stretch. ACCEL: steady near 0.018 g, flat, this 6-minute stretch.
Stress score: 2 (Mild stress).<EOS>"
7,"Physiological Signals: Conductance rises as pulse eases and temperature holds, with the class shifting generic to still and counts down at 18.0 then 16.0 - arousal arriving without any movement behind it.
Stress score: 5 (Moderate stress). PR: 95.0 -> 92.0 bpm, decreasing, during the past 6 minutes.
EDA: 7.24 -> 7.79 uS, increasing, during the past 6 minutes.
ACCEL: 0.007 -> 0.012 g, increasing, during the past 6 minutes.<EOS>"
8,"Physiological Signals: A fresh conductance high for the session with pulse, temperature and motion all flat beneath it, the class gone generic to still on a count of 11.0 - no physical driver for the change.
ACCEL: steady near 0.006 g, flat, in the last 6 minutes. EDA: steady near 9.28 uS, flat, in the last 6 minutes.
PR: steady near 92.0 bpm, flat, in the last 6 minutes.
Stress score: 5 (Moderate stress).<EOS>"
9,"Physiological Signals: Conductance has pushed past ten while pulse holds and temperature edges up, still activity on a count of 14.0 meaning nothing physical is producing this.
Stress score: 5 (Moderate stress).
EDA: steady near 10.85 uS, flat, across this 6-minute window. ACCEL: steady near 0.007 g, flat, across this 6-minute window.
PR: steady near 91.0 bpm, flat, across this 6-minute window.<EOS>"
10,"Physiological Signals: Conductance and temperature drift up together over these six minutes while pulse is unchanged and motion falls, the class staying still with the count near 34.0 - the elevation is not movement-related.
PR: 92.0 -> 93.0 bpm, flat, over these 6 minutes.
ACCEL: 0.009 -> 0.007 g, decreasing, over these 6 minutes. Stress score: 4 (Moderate stress).
EDA: 10.71 -> 10.97 uS, increasing, over these 6 minutes.<EOS>"
11,"Physiological Signals: The session peak for conductance, with pulse, temperature and motion all lifted alongside it as the class turns still to generic and the count returns to 99.0 - part of this rise is genuinely activity-related.
EDA: steady near 11.6 uS, flat, last 6 minutes. Stress score: 2 (Mild stress).
ACCEL: steady near 0.096 g, flat, last 6 minutes.
PR: steady near 101.0 bpm, flat, last 6 minutes.<EOS>"
12,"Physiological Signals: Conductance comes off its peak while pulse climbs and motion increases, the class moving still to generic on a high count of 142.0 - the cardiac rise is mostly the walking rather than the topic.
ACCEL: steady near 0.112 g, flat, six-minute window.
EDA: steady near 9.93 uS, flat, six-minute window. Stress score: 2 (Mild stress).
PR: steady near 109.0 bpm, flat, six-minute window.<EOS>"
13,"Physiological Signals: Every channel comes down together, temperature included, as the class runs still to generic and the count eases 143.0 to 114.0 - a body settling after movement.
EDA: 9.36 -> 7.17 uS, decreasing, over the preceding 6 minutes.
Stress score: 0 (qualitative label not reported). ACCEL: 0.122 -> 0.045 g, decreasing, over the preceding 6 minutes.
PR: 98.0 -> 96.0 bpm, decreasing, over the preceding 6 minutes.<EOS>"
14,"Physiological Signals: Conductance keeps falling while pulse lifts and temperature drops, the class moving still to generic on a high count of 150.0 - the cardiac rise looks activity-driven rather than emotional.
PR: steady near 104.0 bpm, flat, in this 6-minute span. ACCEL: steady near 0.06 g, flat, in this 6-minute span.
EDA: steady near 6.88 uS, flat, in this 6-minute span.
Stress score: 0 (qualitative label not reported).<EOS>"
15,"Physiological Signals: Conductance eases further while pulse stays up and motion rises, with still turning generic and the count at 168.0, the highest of the session - sustained movement accounts for the elevated pulse.
Stress score: 0 (qualitative label not reported).
ACCEL: steady near 0.104 g, flat, through these 6 minutes. PR: steady near 104.0 bpm, flat, through these 6 minutes.
EDA: steady near 6.1 uS, flat, through these 6 minutes.<EOS>"
16,"Physiological Signals: The closing window has conductance still settling, pulse and motion level and temperature drifting down, generic activity near a count of 151.0 placing the readings within what the movement would produce.
EDA: steady near 5.48 uS, flat, final 6 minutes.
ACCEL: steady near 0.111 g, flat, final 6 minutes. Stress score: 0 (qualitative label not reported).
PR: steady near 104.0 bpm, flat, final 6 minutes.<EOS>"
