timestamp,participant_full_id,user_text,ai_text,AI_Strategy,stress_score,EDA,PR,SkinTemp,ACCEL,ACT_CLASS,ACT_COUNT,ACT_INT,MET,PRV,RESP,SLEEP,STEPS,WEAR,BODY_POS_LEFT,BODY_POS_RIGHT,ACTI_X,ACTI_Y,ACTI_Z,ACTIG_X,ACTIG_Y,ACTIG_Z
2026-07-27T11:30:00,2753-1-1-0000,The train just pulled out and I can already feel my chest tightening.,"That tightness makes sense, the moment the train actually starts moving is when it stops being an idea and becomes real. Your body's just catching up to what your mind already knows is happening.",Emotional Reflection,6,"[0.05, 0.09, 0.14]","[92.0, 97.0, 103.0]","[34.49, 34.5, 34.5]","[0.028, 0.041, 0.036]","['generic', 'generic', 'generic']","[44.0, 50.0, 47.0]","['sedentary', 'sedentary', 'sedentary']","[1.05, 2.09, 1.74]","[41.0, 36.0, 30.0]","[12.0, 13.0, 12.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'sitting_reclining_lying']","[20.0, 97.0, 7.0]","[0.0, 129.0, 142.0]","[4.0, 114.0, 15.0]","[136.0, 894.0, 276.0]","[17.0, 952.0, 9.0]","[124.0, 940.0, 5.0]"
2026-07-27T11:33:00,2753-1-1-0000,"I was okay until I saw Amma and Appa waving from the platform, getting smaller.","That image staying with you, them getting smaller, that's such a specific kind of ache. It makes sense that's the moment it hit hardest.",Empathic Reflection,6,"[0.06, 0.1, 0.16]","[95.0, 100.0, 106.0]","[34.5, 34.51, 34.53]","[0.031, 0.045, 0.038]","['generic', 'generic', 'generic']","[42.0, 48.0, 45.0]","['sedentary', 'sedentary', 'sedentary']","[3.27, 0.95, 1.43]","[39.0, 34.0, 29.0]","[13.0, 12.0, 13.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['standing', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'sitting_reclining_lying', 'sitting_reclining_lying']","[55.0, 4.0, 26.0]","[273.0, 24.0, 49.0]","[143.0, 44.0, 44.0]","[677.0, 151.0, 159.0]","[1164.0, 190.0, 281.0]","[573.0, 69.0, 54.0]"
2026-07-27T11:36:00,2753-1-1-0000,I don't even know anyone in this new city. What if I can't handle this on my own?,"Starting somewhere with no one familiar around is genuinely daunting. But 'handling it alone' and 'handling it without your family nearby' aren't quite the same thing, you'll build a new circle, it just hasn't happened yet.",Perspective Taking,6,"[0.05, 0.11, 0.17]","[93.0, 99.0, 105.0]","[34.52, 34.49, 34.51]","[0.029, 0.043, 0.037]","['generic', 'still', 'generic']","[40.0, 46.0, 43.0]","['sedentary', 'sedentary', 'sedentary']","[2.6, 0.95, 1.24]","[40.0, 35.0, 28.0]","[12.0, 13.0, 13.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['miscellaneous', 'sitting_reclining_lying', 'miscellaneous']","[27.0, 8.0, 32.0]","[86.0, 11.0, 41.0]","[66.0, 3.0, 39.0]","[229.0, 90.0, 92.0]","[375.0, 246.0, 109.0]","[66.0, 0.0, 56.0]"
2026-07-27T11:39:00,2753-1-1-0000,I tried opening my laptop to prep for tomorrow's onboarding but I just froze.,"That's a lot to ask of yourself right now, your mind is still processing the goodbye. It's okay to let the prep wait a bit, tomorrow will still be there.",Cognitive Flexibility,6,"[0.07, 0.12, 0.18]","[94.0, 98.0, 104.0]","[34.51, 34.46, 34.41]","[0.027, 0.04, 0.035]","['generic', 'generic', 'still']","[41.0, 47.0, 44.0]","['sedentary', 'sedentary', 'sedentary']","[1.6, 3.4, 1.54]","[38.0, 33.0, 27.0]","[13.0, 13.0, 14.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'standing', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[14.0, 117.0, 31.0]","[70.0, 284.0, 63.0]","[17.0, 187.0, 49.0]","[349.0, 1282.0, 422.0]","[283.0, 1729.0, 345.0]","[121.0, 3110.0, 707.0]"
2026-07-27T11:42:00,2753-1-1-0000,"Now I'm just staring at the tracks going by, not really thinking about anything useful.","That's not wasted time, sometimes the mind needs to just watch something moving while it settles. There's no rule that says you have to be productive right now.",Mindful Observation,5,"[0.1, 0.13, 0.17]","[91.0, 94.0, 97.0]","[34.36, 34.31, 34.26]","[0.022, 0.03, 0.026]","['still', 'generic', 'still']","[38.0, 42.0, 40.0]","['sedentary', 'sedentary', 'sedentary']","[2.84, 2.43, 2.04]","[45.0, 42.0, 40.0]","[13.0, 15.0, 16.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[56.0, 43.0, 86.0]","[84.0, 95.0, 211.0]","[72.0, 59.0, 139.0]","[471.0, 271.0, 850.0]","[474.0, 336.0, 1547.0]","[661.0, 709.0, 1185.0]"
2026-07-27T11:45:00,2753-1-1-0000,Mostly just empty fields and the occasional station light.,"There's something steadying about a view like that, simple, repetitive, nothing demanding anything from you. Let it be background for a while.",Positive Attention Shifting,5,"[0.09, 0.12, 0.16]","[92.0, 95.0, 98.0]","[34.22, 34.2, 34.24]","[0.02, 0.028, 0.024]","['still', 'still', 'generic']","[36.0, 40.0, 38.0]","['sedentary', 'sedentary', 'sedentary']","[2.64, 1.34, 3.32]","[46.0, 43.0, 41.0]","[14.0, 15.0, 17.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'standing']","['standing', 'standing', 'standing']","[116.0, 40.0, 131.0]","[223.0, 81.0, 239.0]","[156.0, 46.0, 197.0]","[584.0, 47.0, 1772.0]","[962.0, 116.0, 2553.0]","[1437.0, 212.0, 2577.0]"
2026-07-27T11:48:00,2753-1-1-0000,I tried closing my eyes to sleep but my mind won't stop running through worst-case scenarios.,"That's your mind trying to prepare for everything at once, which usually just makes the night harder. What's one worst-case thought that keeps circling back the most?",Exploratory Questioning,5,"[0.1, 0.14, 0.18]","[90.0, 93.0, 96.0]","[34.25, 34.24, 34.28]","[0.021, 0.029, 0.025]","['still', 'generic', 'still']","[35.0, 39.0, 37.0]","['sedentary', 'sedentary', 'sedentary']","[3.85, 2.01, 2.68]","[47.0, 44.0, 42.0]","[13.0, 16.0, 17.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['standing', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[236.0, 96.0, 161.0]","[370.0, 237.0, 317.0]","[307.0, 57.0, 151.0]","[2213.0, 555.0, 1044.0]","[2817.0, 834.0, 1450.0]","[2969.0, 973.0, 677.0]"
2026-07-27T11:51:00,2753-1-1-0000,"I'm in the aisle seat, so people keep brushing past every few minutes.",That kind of constant small disruption makes it even harder to settle when you're already on edge. No wonder rest hasn't come easily tonight.,Situation Analysis,5,"[0.08, 0.11, 0.15]","[91.0, 94.0, 97.0]","[34.32, 34.34, 34.38]","[0.019, 0.027, 0.023]","['still', 'still', 'still']","[37.0, 41.0, 39.0]","['sedentary', 'sedentary', 'sedentary']","[2.33, 1.49, 1.73]","[46.0, 43.0, 41.0]","[14.0, 15.0, 16.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[84.0, 30.0, 9.0]","[161.0, 50.0, 29.0]","[122.0, 50.0, 14.0]","[2313.0, 142.0, 403.0]","[3448.0, 733.0, 1000.0]","[2561.0, 153.0, 510.0]"
2026-07-27T11:54:00,2753-1-1-0000,"I almost dozed off twice, but then I'd jolt awake remembering I'm actually doing this.","That in-between state, half asleep, half bracing, is exhausting in its own way. Your body wants rest even while your mind keeps checking if this is really happening.",Reflective Listening,4,"[0.09, 0.12, 0.14]","[90.0, 92.0, 95.0]","[34.41, 34.41, 34.42]","[0.016, 0.021, 0.018]","['still', 'still', 'still']","[33.0, 36.0, 34.0]","['sedentary', 'sedentary', 'sedentary']","[0.95, 0.95, 1.55]","[48.0, 46.0, 44.0]","[12.0, 13.0, 12.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[0.0, 0.0, 16.0]","[0.0, 7.0, 43.0]","[0.0, 4.0, 2.0]","[0.0, 50.0, 179.0]","[0.0, 89.0, 38.0]","[0.0, 64.0, 168.0]"
2026-07-27T11:57:00,2753-1-1-0000,"Yeah, it's such a strange feeling, half exhausted, half wide awake.","A lot of people describe exactly that on a big travel night, tired but too wired to actually sleep. It usually eases once the adrenaline of the goodbye wears off.",Rapport Building,4,"[0.08, 0.1, 0.13]","[91.0, 93.0, 96.0]","[34.43, 34.44, 34.46]","[0.015, 0.02, 0.017]","['still', 'still', 'still']","[32.0, 35.0, 33.0]","['sedentary', 'sedentary', 'sedentary']","[1.28, 2.01, 1.94]","[47.0, 45.0, 43.0]","[13.0, 12.0, 13.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing']","[10.0, 45.0, 54.0]","[101.0, 115.0, 98.0]","[4.0, 29.0, 33.0]","[149.0, 193.0, 46.0]","[60.0, 478.0, 54.0]","[116.0, 397.0, 158.0]"
