turn,user_text,original_ai_response,new_ai_response
1,Can I tell you about something that happened in my neighborhood yesterday?,Of course. It sounds like something has been on your mind. I'm here to listenâtell me what happened.,"Strategy: Clarification

Response: Of course - I'd like to hear it. Something that stays with you overnight and is still there the next evening usually mattered more than people give it credit for. Start wherever it makes sense to you: what happened, and where were you when it did?"
2,A fire broke out in one of the houses near ours.,"That must have been frightening to hear. When something serious happens so close to home, it can leave us feeling shocked and unsettled, even if we weren't directly involved.","Strategy: Emotional Validation

Response: A fire that close to home is genuinely frightening, and you don't have to have been inside it for that to shake you. Something like that changes how safe your own street feels for a while. I'm glad you're talking about it rather than sitting with it alone."
3,Their house is only a few buildings away from ours.,"That makes it feel much more personal. Incidents like this often remind us how quickly life can change, especially when they happen so close to where we live.","Strategy: Reflective Statements

Response: Only a few buildings away - so it was near enough that it could very easily have been your house. That proximity is often the part that lingers, more than the event itself. As you talk me through it, your physical state seems fairly steady, which suggests you've had a little time to absorb it since yesterday."
4,"The fire spread very quickly, and everyone in the neighborhood came outside.",That must have been a very tense moment. Seeing so many people gathered outside and watching the situation unfold can leave a lasting impression. It sounds like the whole neighborhood was deeply affected.,"Strategy: Empathetic Statements

Response: Watching it spread with the whole neighbourhood standing outside must have been a tense, helpless kind of feeling. Everyone is there, and there is very little any one person can actually do. That image tends to stay with people for a while."
5,"Thankfully, everyone got out safely, but they couldn't save many of their belongings.","I'm relieved to hear that everyone was safe. Losing belongings is painful, but knowing that no lives were lost is an important comfort. Even so, it's understandable that the family is going through a difficult time emotionally.","Strategy: Reframe Negative Thoughts

Response: Everyone getting out is genuinely the thing that matters most here, and it's worth letting that land before the rest. The belongings are a real loss and it's fair to grieve them - but possessions can be replaced over time in a way that people cannot. Holding both at once is the honest position: relieved about the family, and sorry for what they've lost."
6,They had been renovating the house for their son's engagement next month.,"That makes the situation even more heartbreaking. They were preparing for a happy family celebration, and now they're facing an unexpected setback instead. Moments like this can feel especially unfair.","Strategy: Emotional Validation

Response: Oh, that makes it much harder. They were in the middle of preparing for something joyful, and the timing of it feels almost unfair in a way that has nothing to do with logic. It's completely understandable that the engagement detail is the part that got to you."
7,The mother was crying continuously when I saw her.,Seeing someone cry like that can be very difficult. It's natural that her emotions affected you too. Sometimes witnessing another person's pain leaves us feeling helpless because we wish we could ease their burden.,"Strategy: Empathetic Statements

Response: Seeing a mother cry like that is hard to shake off. You were watching someone in real distress with nothing you could do to fix it, and that helplessness stays with you longer than people expect. It says something kind about you that her grief affected you this much."
8,My parents and I stayed with them until the firefighters finished their work.,"That was a kind thing to do. During a crisis, simply staying beside someone can provide a sense of comfort and support. Your presence likely meant more to them than you realize.","Strategy: Affirmation

Response: Staying there until the firefighters were done was a genuinely good thing to do, and not everyone does it. In a crisis, most people want to go back inside and close the door - you and your parents stayed. Presence like that often matters more to a family than anything practical anyone can offer."
9,We didn't get home until almost 1:30 in the morning.,"That must have been an exhausting night. After witnessing such an emotional event and staying to help, it's understandable that you came home feeling physically and mentally drained.","Strategy: Reflective Statements

Response: One thirty in the morning, after all of that - so you gave up your whole night as well as your evening. That's a long stretch of being alert and worried, and the tiredness afterwards is physical as much as emotional. It makes sense if the next day felt heavy before it even started."
10,I still had to go to work this morning because I couldn't take leave.,"That sounds like a lot to carry in one day. Even though you were tired, you still fulfilled your responsibilities, which shows your dedication. At the same time, don't forget to give yourself some time to recover. Rest is important after emotionally demanding experiences.","Strategy: Promote Self-Care Practices

Response: Going in after a night like that takes real effort, and it's no small thing that you managed it. I'd gently push you to protect some recovery now, though - an earlier night, a proper meal, and less on yourself this evening than you'd normally take on. I'm also noticing signs that you haven't fully come down from it yet, even while you've been sitting fairly still. Being tired and unsettled at the same time is worth resting for."
11,I couldn't concentrate at work because I kept thinking about them.,"That makes sense. When we care about people who are going through something painful, it's difficult to simply switch our thoughts to work. Your mind is still processing everything that happened, and that's a natural response.","Strategy: Normalize Experiences

Response: That's a very common reaction, and it isn't a failure of concentration. After witnessing something distressing, the mind keeps returning to it for a few days while it processes - most people find their focus is patchy for a while afterwards. Your signals suggest you're still carrying some of that tension today. Expect a couple more days like this before it eases, and don't take it as a sign that something is wrong with you."
12,I just hope they can rebuild their home soon.,"I hope so too. Recovering from something like this takes time, but families often find strength through the support of relatives, friends, and neighbors. The kindness you've shown is already one small part of helping them move forward.","Strategy: Offer Hope

Response: I hope so too, and families do rebuild from this - usually more quickly than seems possible in the first week, because neighbours and relatives tend to close in around them. What you and your parents already did is part of exactly that. Keep an eye out for the practical moments where you can help, and let yourself believe this gets better for them."
