turn,session_id,user_text,physio_signals
1,2753-1-1,The bus just left. I already feel a little sad.,"During the first minute, the participant was awake alongside generic movement, EDA and PR and SkinTemp and ACCEL shifted, likely activity-related. The rise in EDA and PR and SkinTemp and ACCEL coincided with elevated ACT_COUNT, making it difficult to separate physical exertion from emotional stress. At the same time, The sympathetic arousal marker (EDA) falling sharply over the first minute, now 0.0 uS. In parallel, The pulse signal was upward for the first minute, mildly fluctuating, around 79.0 bpm. Alongside this, Across the first minute, overall motion trended rising from 0.03 to 0.04 g. In parallel, Skin temperature moved slightly in a elevating direction over the first minute, from 34.49 to 34.5 degC. Also, The participant stayed generic for the duration of the first minute."
2,2753-1-1,Exactly. I was fine until I saw my parents getting smaller through the window.,"Across the past 3 minutes, wear-quality was reliable; within that context, EDA and PR and SkinTemp and ACCEL shifted, not explained by movement. Arousal markers rose without any matching rise in movement, indicating the shift is likely psychological rather than exertional. Also, Skin conductance easing sharply during the past 3 minutes, reaching 0.0 uS. On top of that, A decreasing movement pattern was observed over the past 3 minutes, highly fluctuating, reaching 0.03 g. At the same time, Over the past 3 minutes, peripheral temperature stayed growing, around 34.53 degC. Alongside this, A elevating pulse rate pattern emerged over the past 3 minutes, mildly fluctuating, reaching 76.0 bpm. Meanwhile, Activity classification showed no change over the past 3 minutes, staying generic."
3,2753-1-1,It's going to be almost ten hours on this bus.,"Over the past 6 minutes, step count suggests some walking activity; EDA and PR and SkinTemp and ACCEL shifted, a response that is not clearly linked to physical activity. The relationship between EDA and PR and SkinTemp and ACCEL and movement was inconsistent over the past 6 minutes, making the source of change unclear. In parallel, Pulse rate moved moderately in a dropping direction over the past 6 minutes, from 75.0 to 70.0 bpm. Meanwhile, Accelerometer output easing slightly across the past 6 minutes, showing highly fluctuating activity, now 0.03 g. Also, Skin temperature showed a growing pattern across the past 6 minutes, with smooth change, now 34.51 degC. Additionally, Skin conductance drifted falling across the past 6 minutes to 0.01 uS, without any notable peaks or valleys. In parallel, Throughout the past 6 minutes, the recorded activity class stayed generic."
4,2753-1-1,"I thought I'd work on my research, but I can't even open my laptop properly.","Over the past 6 minutes, the combined signal (EDA and PR and SkinTemp and ACCEL) showed shifted, with movement generic, likely activity-related. EDA and PR and SkinTemp and ACCEL rose alongside increased movement, so the change is likely activity-related rather than a pure stress response. Additionally, Pulse rate rising sharply across the past 6 minutes, showing highly fluctuating activity, now 88.0 bpm. Notably, Over the past 6 minutes, motion intensity stayed decreasing, around 0.05 g. Further, During the past 6 minutes, skin temperature registered a downward shift to 34.41 degC, without any notable peaks or valleys. At the same time, The sympathetic arousal marker (EDA) decreasing slightly over the past 6 minutes, now 0.0 uS. Further, Consistent generic classification was recorded across the past 6 minutes."
5,2753-1-1,Now I'm just staring outside.,"Across the past 6 minutes, taking reclining/lying posture and LPA intensity into account, EDA and PR and SkinTemp and ACCEL shifted, likely activity-related. The rise in EDA and PR and SkinTemp and ACCEL coincided with elevated ACT_COUNT, making it difficult to separate physical exertion from emotional stress. Further, Across the past 6 minutes, EDA trended climbing from 0.0 to 0.01 uS. At the same time, Over the past 6 minutes, heart rate stayed upward around 93.0 beats per minute. Additionally, Accelerometer readings moved sharply and elevating through the past 6 minutes, ending at 0.07 g. At the same time, Skin temperature showed a downward pattern across the past 6 minutes, with mildly fluctuating change, now 34.26 degC. Meanwhile, Activity type persisted as generic through the past 6 minutes. Further, The stress score for the past 6 minutes is 2 (activity count: 144.0), pointing to Mild stress."
6,2753-1-1,Mostly green fields.,"Over the past 6 minutes, step count suggests some walking activity; EDA and PR and SkinTemp and ACCEL shifted, a response that is likely activity-related. EDA and PR and SkinTemp and ACCEL climbed while movement also increased, suggesting the change may be confounded by physical activity. Notably, Over the past 6 minutes, heart rate remained upward near 94.0 beats per minute. Simultaneously, The motion signal was increasing for the past 6 minutes, mildly fluctuating, around 0.07 g. Meanwhile, A downward skin temperature pattern was observed over the past 6 minutes, mildly fluctuating, reaching 34.24 degC. Notably, During the past 6 minutes, EDA registered a decreasing shift to 0.01 uS, with without any notable peaks or valleys. In parallel, For the past 6 minutes, the participant's activity did not shift from generic."
7,2753-1-1,"I tried sleeping, but I couldn't.","Over the past 6 minutes, considering MET levels near 2.85 and generic movement, EDA and PR and SkinTemp and ACCEL shifted, not clearly linked to physical activity. The relationship between EDA and PR and SkinTemp and ACCEL and movement was inconsistent over the past 6 minutes, making the source of change unclear. Also, The electrodermal signal was falling for the past 6 minutes, showing highly fluctuating behavior around 0.0 uS. Additionally, During the past 6 minutes, heart rate registered a easing shift to 83.0 bpm, without any notable peaks or valleys. In parallel, Skin temperature easing slightly over the past 6 minutes, moving from 34.36 to 34.28 degC. Further, Body movement moved slightly in a increasing direction over the past 6 minutes, from 0.08 to 0.09 g. Simultaneously, Throughout the past 6 minutes, the recorded activity class stayed generic."
8,2753-1-1,I'm sitting beside the front door. Every few minutes someone gets on or off.,"Across the past 6 minutes, EDA and PR and SkinTemp and ACCEL moved in a shifted direction while the participant stayed generic, indicating the response is not clearly linked to physical activity. Neither EDA and PR and SkinTemp and ACCEL nor movement showed a notable change, so no clear stress or activity signal is present here. On top of that, Heart rate drifted decreasing across the past 6 minutes to 76.0 bpm, without any notable peaks or valleys. Additionally, A dropping movement pattern was observed over the past 6 minutes, highly fluctuating, reaching 0.01 g. Alongside this, During the past 6 minutes, skin temperature registered a rising shift to 34.38 degC, without any notable peaks or valleys. Also, During the past 6 minutes, EDA registered a declining shift to 0.0 uS, with showing a single sustained rise with no reversal. Activity remained categorized as generic over the past 6 minutes."
9,2753-1-1,Exactly. I almost fell asleep twice.,"Across the past 6 minutes, EDA and PR and SkinTemp and ACCEL shifted while the participant was awake, not clearly linked to physical activity. The relationship between EDA and PR and SkinTemp and ACCEL and movement was inconsistent over the past 6 minutes, making the source of change unclear. Also, Movement levels drifted decreasing across the past 6 minutes to 0.03 g, without any notable peaks or valleys. Meanwhile, Pulse readings moved sharply and decreasing through the past 6 minutes, ending at 76.0 bpm. At the same time, Across the past 6 minutes, peripheral temperature trended increasing from 34.25 to 34.42 degC. Additionally, EDA held downward through the past 6 minutes, close to 0.0 uS. Meanwhile, Over the past 6 minutes, a shift from generic to still was recorded."
10,2753-1-1,Haha... it really does.,"Over the past 6 minutes, the combined signal (EDA and PR and SkinTemp and ACCEL) showed shifted, with movement generic, likely activity-related. EDA and PR and SkinTemp and ACCEL rose in step with heightened motion, indicating the signal is at least partly explained by movement rather than stress alone. Also, The sympathetic arousal marker (EDA) elevating sharply over the past 6 minutes, now 0.01 uS. Simultaneously, Across the past 6 minutes, heart rate trended easing from 83.0 to 78.0 bpm. At the same time, Motion intensity declining moderately during the past 6 minutes, reaching 0.05 g. Also, Temperature readings moved moderately and upward through the past 6 minutes, ending at 34.46 degC. Alongside this, During the past 6 minutes, movement classification changed from generic to generic."
