timestamp,participant_full_id,user_text,ai_text,AI_Strategy,EDA,PR,SkinTemp,ACCEL,ACT_CLASS,ACT_COUNT,ACT_INT,MET,PRV,RESP,SLEEP,STEPS,WEAR,BODY_POS_LEFT,BODY_POS_RIGHT,ACTI_X,ACTI_Y,ACTI_Z,ACTIG_X,ACTIG_Y,ACTIG_Z
2026-08-10T16:30:00,2753-1-1-0002,"I completed my internship at a really good tech company, and now I'm waiting for my pre-placement offer. It's already been a month, and I still haven't heard anything. I'm getting really stressed because I don't know what is going to happen.","That kind of waiting can be really difficult, especially when you've already invested so much effort into the internship. A month without an update leaves you stuck between hope and uncertainty, which can make your mind constantly search for answers. Right now, the uncertainty itself may be causing more stress than anything you actually know about the decision.","Emotional Validation, Reflective Statements","[0.172, 0.15, 0.152, 0.137]","[83.1, 87.8, 92.6, 97.3]","[28.66, 29.07, 29.31, 29.21]","[0.05, 0.098, 0.083, 0.036]","['generic', 'still', 'still', 'still']","[63.6, 65.5, 67.3, 69.2]","['LPA', 'sedentary', 'sedentary', 'sedentary']","[1.84, 2.96, 2.74, 2.49]","[nan, nan, nan, nan]","[11.43, 13.46, 15.5, 17.53]","[0.0, 0.0, 0.0, 0.0]","[12.2, 18.5, 27.7, 8.4]","[100.0, 100.0, 100.0, 100.0]","['standing', 'standing', 'standing', 'standing']","['standing', 'standing', 'standing', 'standing']","[60.9, 154.4, 163.2, 60.4]","[127.2, 201.1, 142.7, 182.7]","[72.7, 103.8, 116.5, 83.6]","[1677.2, 2266.6, 1591.5, 1268.8]","[1347.0, 1617.4, 1474.6, 1362.2]","[1286.0, 1526.6, 1591.5, 1595.6]"
2026-08-10T16:34:00,2753-1-1-0002,"Yes, exactly. I keep thinking that if they were going to give me the offer, they would have told me by now. The longer they take, the more I feel like something is wrong.","I can understand why the delay is starting to feel like a bad sign. When something matters this much, silence can easily feel like an answer even when it isn't one. The delay tells you that you haven't received a decision yet; it doesn't tell you what that decision will be. Try to separate what you actually know from what anxiety is predicting.","Emotional Validation, Reframe Negative Thoughts","[0.21, 0.228, 0.23, 0.227, 0.152]","[80.2, 83.5, 86.8, 90.0, 93.3]","[29.23, 29.28, 29.62, 29.56, 29.52]","[0.092, 0.052, 0.068, 0.029, 0.006]","['still', 'still', 'still', 'generic', 'still']","[77.8, 67.5, 57.2, 46.9, 36.6]","['sedentary', 'LPA', 'sedentary', 'sedentary', 'sedentary']","[3.04, 3.51, 2.44, 1.37, 0.9]","[nan, nan, nan, nan, 26.2]","[11.51, 12.04, 12.58, 13.12, 13.65]","[0.0, 0.0, 0.0, 0.0, 0.0]","[26.3, 8.3, 14.6, 7.5, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0]","['standing', 'standing', 'standing', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing', 'standing', 'standing']","[118.7, 145.2, 140.1, 70.1, 5.3]","[259.3, 228.2, 193.4, 146.8, 4.3]","[159.8, 131.8, 137.7, 64.8, 1.8]","[2536.8, 1694.4, 1391.0, 1140.8, 147.3]","[2614.3, 1490.9, 1580.7, 1649.1, 149.1]","[1547.0, 1819.4, 1660.9, 1406.3, 37.6]"
2026-08-10T16:39:00,2753-1-1-0002,"I know that makes sense, but I still keep checking my email every few minutes. Even when I know there probably won't be anything, I still check.","That repeated checking makes sense because it gives you a small sense of control over something you can't actually control. But I can imagine how exhausting it is to keep your attention fixed on your inbox all day. Maybe decide on a few specific times to check instead, so the offer doesn't get to occupy every quiet moment you have.","Normalize Experiences, Stress Management","[0.161, 0.156, 0.161, 0.117]","[75.4, 80.9, 86.5, 92.0]","[29.92, 29.76, 29.4, 29.19]","[0.002, 0.003, 0.015, 0.002]","['still', 'still', 'still', 'generic']","[56.5, 52.8, 49.1, 45.4]","['sedentary', 'LPA', 'sedentary', 'sedentary']","[0.9, 0.9, 1.35, 0.9]","[nan, nan, nan, nan]","[12.96, 14.38, 15.81, 17.23]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing', 'standing']","[0.0, 2.1, 12.2, 0.0]","[20.8, 6.7, 58.6, 18.5]","[7.8, 4.4, 26.1, 10.5]","[24.9, 236.1, 747.5, 0.0]","[191.0, 195.0, 616.7, 141.1]","[204.1, 107.8, 765.2, 162.5]"
2026-08-10T16:43:00,2753-1-1-0002,The waiting has also made me think about everything I did during the internship. I keep remembering mistakes and wondering if those things affected my chances.,"It sounds like your mind is going backward through the internship looking for clues about the outcome. That's understandable when you don't have any new information, but anxiety tends to make small mistakes feel much more significant than they actually were. You probably had many ordinary and successful moments too, but right now your mind is giving the mistakes most of the attention.","Reflective Statements, Reframe Negative Thoughts","[0.197, 0.172, 0.175, 0.185, 0.177]","[78.0, 82.1, 86.2, 90.4, 94.5]","[29.23, 29.9, 29.65, 29.48, 29.64]","[0.007, 0.011, 0.003, 0.005, 0.004]","['generic', 'generic', 'generic', 'generic', 'generic']","[44.9, 51.6, 58.3, 65.0, 71.7]","['sedentary', 'sedentary', 'sedentary', 'sedentary', 'sedentary']","[0.9, 1.35, 0.9, 0.9, 0.9]","[nan, nan, nan, nan, 30.1]","[10.9, 11.0, 11.1, 11.2, 11.3]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 1.2, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'sitting_reclining_lying', 'standing', 'standing']","[5.8, 10.4, 2.8, 3.4, 2.3]","[8.0, 60.5, 11.4, 39.4, 8.9]","[5.9, 45.2, 9.2, 12.0, 4.6]","[142.7, 212.7, 85.2, 139.6, 127.1]","[201.5, 536.0, 41.1, 405.7, 184.0]","[251.8, 578.7, 80.4, 598.5, 294.7]"
2026-08-10T16:48:00,2753-1-1-0002,"Yes, and I keep comparing myself with the other interns. Some of them were extremely good, and I start wondering whether I was actually good enough.","Being surrounded by talented people can easily make you question yourself, especially when you're waiting for an evaluation. But their strengths don't cancel out what you brought to the internship. You were selected for the internship, completed it, and are now waiting for a potential full-time opportunity. That's already evidence that you belonged in that environment.","Affirmation, Provide Different Perspectives","[0.335, 0.362, 0.32, 0.257]","[78.0, 87.3, 96.7, 106.0]","[30.26, 29.61, 29.85, 30.37]","[0.006, 0.004, 0.001, 0.004]","['generic', 'still', 'still', 'generic']","[54.0, 51.6, 49.3, 46.9]","['LPA', 'LPA', 'LPA', 'LPA']","[0.95, 0.9, 0.9, 0.9]","[nan, nan, nan, nan]","[11.53, 13.54, 15.55, 17.56]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['miscellaneous', 'sitting_reclining_lying', 'sitting_reclining_lying', 'miscellaneous']","[7.2, 4.1, 0.0, 0.9]","[20.3, 6.5, 0.0, 7.9]","[15.4, 7.3, 0.0, 5.2]","[197.5, 64.4, 0.0, 122.8]","[202.6, 143.1, 0.0, 95.8]","[111.4, 79.6, 0.0, 119.1]"
2026-08-10T16:52:00,2753-1-1-0002,"I think the offer feels so important because if I get it, I won't have to worry about placements anymore. If I don't, I'll have to start preparing again from scratch.","That makes the uncertainty feel much heavier because the offer represents security, not just another job opportunity. You're probably imagining how much easier everything would feel if you had that certainty. It's completely understandable to want that, but even if you have to prepare again, it wouldn't mean you're starting from zero. You'd be going into the process with valuable internship experience behind you.","Emotional Validation, Provide Different Perspectives","[0.288, 0.268, 0.286, 0.268, 0.253]","[79.1, 85.3, 91.4, 97.6, 103.8]","[30.47, 30.27, 30.26, 30.28, 30.23]","[0.002, 0.004, 0.003, 0.001, 0.005]","['still', 'still', 'generic', 'still', 'still']","[61.0, 64.1, 67.2, 70.2, 73.3]","['LPA', 'sedentary', 'LPA', 'LPA', 'sedentary']","[0.9, 0.9, 0.9, 0.9, 0.9]","[nan, nan, nan, nan, 32.7]","[10.08, 10.84, 11.61, 12.37, 13.13]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing', 'standing', 'standing']","[1.2, 5.1, 2.8, 0.0, 2.0]","[0.8, 6.2, 3.6, 0.0, 2.3]","[2.1, 3.8, 2.4, 0.0, 1.5]","[8.5, 17.8, 16.4, 0.0, 114.2]","[61.4, 82.3, 123.7, 0.0, 233.7]","[81.7, 43.3, 141.1, 0.0, 72.4]"
2026-08-10T16:57:00,2753-1-1-0002,"That's true, but sometimes I feel like I'm already experiencing the disappointment before anything has even happened.","That's a really important thing to notice. Your mind is trying to protect you by preparing for the possibility of rejection, but in doing that, you're experiencing the pain of an outcome that hasn't happened. You don't have to choose between being hopeful and being prepared right now. You can leave the outcome undecided and just deal with what is actually in front of you today.","Reflective Statements, Normalize Experiences","[0.3, 0.318, 0.318, 0.265]","[83.8, 87.1, 90.3, 93.6]","[30.06, 30.0, 30.13, 30.61]","[0.004, 0.006, 0.003, 0.004]","['still', 'still', 'still', 'still']","[57.1, 57.5, 58.0, 58.4]","['sedentary', 'sedentary', 'LPA', 'LPA']","[0.9, 0.93, 0.9, 0.9]","[nan, nan, nan, nan]","[12.33, 14.05, 15.76, 17.48]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","['miscellaneous', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['sitting_reclining_lying', 'standing', 'standing', 'standing']","[3.5, 4.2, 1.7, 1.9]","[15.9, 11.3, 10.9, 24.9]","[7.9, 4.9, 8.3, 12.8]","[173.9, 254.6, 51.3, 89.3]","[108.4, 125.3, 86.9, 344.8]","[114.6, 160.1, 222.7, 353.1]"
2026-08-10T17:01:00,2753-1-1-0002,I've also started feeling guilty whenever I relax. I think I should be preparing for placements instead of watching something or taking a break.,"It sounds like the uncertainty has turned even your breaks into something you feel you need to justify. Preparing can definitely help you feel more secure, but you don't need to be productive every minute to prove that you're taking your future seriously. A small amount of preparation each day could be enough while still giving yourself permission to rest.","Reframe Negative Thoughts, Collaborative Planning","[0.209, 0.225, 0.203, 0.232, 0.139]","[75.0, 79.8, 84.6, 89.4, 94.2]","[30.33, 30.7, 30.22, 30.24, 30.74]","[0.008, 0.003, 0.008, 0.004, 0.003]","['still', 'still', 'still', 'still', 'still']","[72.9, 63.2, 53.4, 43.6, 33.9]","['LPA', 'sedentary', 'sedentary', 'LPA', 'sedentary']","[1.28, 0.93, 1.59, 0.9, 0.9]","[nan, nan, nan, nan, 24.3]","[11.65, 11.76, 11.88, 11.99, 12.1]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 2.7, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0, 100.0]","['sitting_reclining_lying', 'miscellaneous', 'miscellaneous', 'standing', 'sitting_reclining_lying']","['sitting_reclining_lying', 'sitting_reclining_lying', 'miscellaneous', 'sitting_reclining_lying', 'standing']","[6.0, 3.6, 4.5, 5.2, 0.0]","[28.3, 13.2, 47.8, 19.4, 4.6]","[16.1, 4.5, 19.3, 6.8, 1.9]","[142.9, 189.8, 183.8, 63.5, 42.1]","[160.4, 161.4, 130.5, 55.9, 68.5]","[92.0, 89.7, 93.4, 65.1, 56.5]"
2026-08-10T17:06:00,2753-1-1-0002,The problem is that everyone around me thinks I'll get the offer. I haven't really told them how anxious I actually am because I don't want to disappoint them.,That can feel surprisingly lonely â having people believe in you while you're privately worrying that things might not work out. You don't have to protect everyone from your uncertainty by pretending you're completely confident. Even telling one person you trust that the waiting has been difficult could give you a place to put some of that pressure down.,"Empathetic Statements, Emotional Validation","[0.223, 0.234, 0.241, 0.149]","[82.3, 86.9, 91.6, 96.2]","[30.09, 30.35, 30.79, 30.11]","[0.003, 0.007, 0.006, 0.003]","['still', 'generic', 'still', 'generic']","[46.5, 42.5, 38.4, 34.4]","['sedentary', 'LPA', 'LPA', 'sedentary']","[0.9, 0.9, 0.9, 0.9]","[nan, nan, nan, nan]","[12.53, 14.12, 15.72, 17.31]","[0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0]","[100.0, 100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying']","['standing', 'standing', 'standing', 'miscellaneous']","[0.0, 6.7, 14.3, 0.0]","[5.0, 21.1, 28.6, 6.9]","[1.8, 13.9, 6.8, 2.7]","[54.1, 212.6, 155.5, 178.1]","[30.1, 145.3, 220.7, 82.4]","[58.4, 117.1, 259.3, 168.6]"
2026-08-10T17:10:00,2753-1-1-0002,Sometimes I also take the silence personally. I start thinking maybe my manager saw something lacking in me that I didn't notice.,"I understand why your mind goes there when you're waiting for feedback about something so important. But company decisions can depend on many things beyond one person's performance, including approvals, timelines, hiring plans, and available positions. You don't have enough information right now to turn the silence into a judgment about your abilities.","Reflective Statements, Reframe Negative Thoughts","[0.274, 0.274, 0.273, 0.236, 0.212]","[73.9, 80.0, 86.1, 92.1, 98.2]","[30.4, 30.74, 30.78, 30.13, 30.67]","[0.004, 0.021, 0.015, 0.062, 0.038]","['still', 'still', 'still', 'still', 'still']","[61.5, 55.2, 48.9, 42.5, 36.2]","['LPA', 'sedentary', 'sedentary', 'sedentary', 'sedentary']","[0.9, 0.98, 1.37, 1.89, 1.06]","[nan, nan, nan, nan, 29.4]","[11.75, 11.82, 11.89, 11.97, 12.04]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 4.3, 1.7, 23.3, 7.0]","[100.0, 100.0, 100.0, 100.0, 100.0]","['sitting_reclining_lying', 'sitting_reclining_lying', 'sitting_reclining_lying', 'standing', 'sitting_reclining_lying']","['miscellaneous', 'standing', 'standing', 'standing', 'sitting_reclining_lying']","[5.5, 35.8, 40.0, 108.5, 49.0]","[20.9, 71.5, 68.4, 163.3, 135.3]","[5.6, 35.6, 34.1, 60.3, 82.9]","[88.7, 799.4, 585.8, 2273.7, 1163.2]","[137.2, 771.2, 1125.7, 1594.9, 1513.7]","[133.0, 815.6, 1621.3, 1612.0, 1043.9]"
